region_name,Station,longitude,latitude,date,time,Twilight,net,mesh (um),net diamter (m),tow depth (m),bottom depth(m),volume (m3),CTD,Polychaeta,Amphipoda,Cirripedia,Cladocera,Copepoda,Cumacea,Anomura,Brachyura,Caridea,Pleocyemata,Euphausiacea,Isopoda,Mysida,Ostracoda,Bryozoa,Chaetognatha,Anthozoa,Hydromedusa,Siphonophora,Scyphozoa,Ctenophora,Echinodermata,Bivalva,Cephalopoda,Gastropoda,Pteropoda,Nemertea,Phoronida,Pisces,Platyhelminthes,Protozoa,Sipuncula,Appendicularia,Thaliacea,Animalia
Alaska Basin East,P26,-145,50,04/01/1980,8:15,Night,SCOR VNH,351,0.56,150,4250,36.93,,1.32386,0.12315,0,0,35.71307,0,0,0,0,0,8.70913,0,0,2.51286,0,2.96642,0,27.90144,1.15028,0,0,0,0,0,0,1.81533,0,0,0,0,0,0,0.12998,0,0
Alaska Basin East,P26,-145,50,22/01/1980,9:00,Daylight,SCOR VNH,351,0.56,150,4250,36.93,,0.02329,0.5134,0,0,14.76068,0,0,0,0,0,0,0,0,1.47306,0,2.13241,0,4.4273,0.28757,0,0,0,0,0,0,5.95288,0,0,0,0,0,0,0.00812,0,0
Alaska Basin East,P26,-145,50,25/01/1980,9:00,Daylight,SCOR VNH,351,0.56,150,4250,36.93,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72949,0,2.68346,1.53371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska Basin East,P26,-145,50,27/01/1980,9:00,Daylight,SCOR VNH,351,0.56,150,4250,36.93,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42161,0,5.23152,0.28757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska Basin East,P26,-145,50,29/01/1980,9:00,Daylight,SCOR VNH,351,0.56,150,4250,36.93,,0.11969,0,0,0,11.85381,0,0,0,0,0,0,0,0,0.77985,0,1.12781,0,2.61576,0.57514,0,0,0,0,0,0,3.557,0,0,0,0,0,0,0.00812,0,0
Alaska Basin East,P26,-145,50,02/02/1980,8:55,Daylight,SCOR VNH,351,0.56,150,4250,36.93,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7108,0,11.22827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska Basin East,P26,-145,50,05/02/1980,9:00,Daylight,SCOR VNH,351,0.56,150,4250,36.93,,0,0,0,0,4.65346,0,0,0,0,0,0,0,0,0.25995,0,0,0,0.87192,0,0,0,0,0,0,0,0.89305,0,0,0,0,0,0,0.00271,0,0
Alaska Basin East,P26,-145,50,07/02/1980,9:00,Daylight,SCOR VNH,351,0.56,150,4250,36.93,,0.11969,0,0,0,25.59489,0,0,0,0,0,0,0,0,0,0,5.30734,0,3.55538,0,0,0,0,0,0,0,0.92066,0,0,0,0,0,0,0,0,0
Juan de Fuca,1,-124.383,48.5,13/02/1980,4:15,Night,Bongo ONH,351,0.56,53,91,100.53,,0.16807,0.68728,2.6229,0,32.49644,0.00645,0,0,0,1.02497,6.10962,0,0.10313,0,0,2.64709,0,0.45956,0.08149,0,0.02626,0,0,0,0,0.10823,0,0,8.73639,0,0,0,0.61116,0,0
Southern Vancouver Island Shelf (Stations B and D),2,-124.55,48.5,13/02/1980,5:35,Night,Bongo ONH,351,0.56,139,182,96.21,,0.0439,0,1.84929,0,18.68693,0,0,0,0,0.0153,5.42501,0,0.05388,0.06652,0,0.95782,0,0,0,0,0,0,0,0,0,0.05654,0,0,0.22139,0,0,0,0.7783,0,0
Southern Vancouver Island Shelf (Stations B and D),3,-124.867,48.5,13/02/1980,7:15,Daylight,Bongo ONH,351,0.56,115,182,119.84,,0,0.02578,0.2777,0,20.88954,0,0,0,0.01666,0.04913,2.07827,0,0,0,0,3.96329,0,0,0.01709,0,0,0,0,0,0,0.0227,0,0,2.17623,0,0,0,0.10948,0,0
Southern Vancouver Island Shelf (Station C),4,-125.3,48.5,13/02/1980,9:20,Daylight,Bongo ONH,351,0.56,103,182,124.01,,0.02271,0.03484,1.19732,0,21.399,0,0,0,0,0.07122,0.16418,0,0,0,0,0.07741,0,0,0.06606,0,0,0,0,0.04516,0,0.43867,0,0,0.73106,0,0,0,0.77413,0,0
Southern Vancouver Island Shelf (Stations B and D),5,-125.717,48.5,13/02/1980,11:10,Daylight,Bongo ONH,351,0.56,43,100,94.25,,0,0.04871,0.02716,0,5.49827,0,0,0,0,0.02343,0.19395,0,0,0,0,0.02852,0,0.74908,0.06203,0,0,0,0,0,0,0.20202,0,0,2.28096,0,0,0,0.19353,0,0
Southern Vancouver Island Shelf (Stations B and D),6,-126.083,48.5,13/02/1980,13:05,Daylight,Bongo ONH,351,0.56,135,182,83.05,,0,0.09132,0,0,10.66629,0,0,0,0,0,0.04624,0,0,0,0,0.09187,0,0,0,0,0,0,0,0,0,0.39302,0,0,1.63444,0,0,0,0.77833,0.38916,0
Southern Vancouver Island Shelf (Stations B and D),7,-126.4,48.5,13/02/1980,14:50,Daylight,Bongo ONH,351,0.56,508,910,282.53,,0.00487,0.045,0.00566,0,6.2062,0,0,0,0.00229,0,0.35903,0,0,0.40774,0,2.35624,0,0.02265,0.029,0,0,0,0,0.00991,0,0.0875,0,0,0.55005,0,0,0,0.00906,0.50968,0
Southern Vancouver Island Shelf (Stations B and D),8,-126.933,49,13/02/1980,20:40,Night,Bongo ONH,351,0.56,524,910,389,,0.00707,0.16619,0,0,5.67109,0,0,0,0.02915,0,2.44486,0,0.01333,0.41954,0,2.62586,0,0.04318,0.02632,0,0,0,0,0.03188,0,0.15589,0,0,1.06392,0,0,0,0,0.24679,0
