Year,Province,Postal Code,Latitude,Longitude,Total Emissions (tonnes CO2e) / Émissions totales (tonnes éq. CO2)
2017,Quebec,G8B5W2,48.565,-71.65556,93659.04
2017,Quebec,J0L1C0,45.82055,-73.26362,185547.78
2017,Alberta,T4A2G7,,,288952.6057
2017,Ontario,K0H1G0,44.2095,-76.7246,22008.78444
2017,Alberta,T0A2W0,53.842,-113.093,1303160.453
2017,Alberta,T6P1Y3,53.53199,-113.36492,309531.3952
2017,Alberta,T2P3H5,,,563500.81
2017,Alberta,T0A0M0,54.92312,-112.86186,119246.7709
2017,British Columbia,V8C 2H2,54.00286,-128.69531,862357.3202
2017,Ontario,P6A7B4,46.5217,-84.3637,2559371.5
2017,Quebec,G4R5M9,50.1583,-66.4416,1156148.148
2017,Quebec,G4Z2L6,49.2583,-68.1461,515887.5377
2017,Quebec,G9H2T7,46.3829,-72.3874,821708.4211
2017,Alberta,T6B3H1,,,195305.6494
2017,Ontario,P0T1C0,48.8361,-91.5656,18137.94
2017,Alberta,T0B1N0,52.5647,-112.1414,2053504.673
2017,New Brunswick,E2J1B4,45.2753,-66.0269,243460.82
2017,Quebec,J0J1A0,45.1123,-73.0129,470015.609
2017,New Brunswick,E8G2M3,47.9058,-65.867,2435029.52
2017,Saskatchewan,S4A2A6,49.09606,-103.0305,5501399.44
2017,Ontario,P7E6S3,48.3486,-89.3067,214592.8062
2017,Manitoba,R3Y1T1,49.7583,-97.2004,391587
2017,Ontario,L6S6B3,43.7512,-79.7168,75123.25
2017,Manitoba,R7A7J8,49.8449,-99.8896,39567.8579
2017,Alberta,,53.1812,-115.7625,147878.2324
2017,Alberta,T7A1S5,52.94707,-115.9026,72379.877
2017,Ontario,N9C4J3,42.2798,-83.0946,51641.89165
2017,Ontario,L1X2R4,43.8685,-79.10054,22833.6
2017,Nova Scotia,B0N1C0,45.2393,-63.3347,172992.033
2017,New Brunswick,E8G 2M1,47.8992,-65.8339,225465.5
2017,British Columbia,V5C1X4,49.29444,-122.98888,539770.2121
2017,British Columbia,V3H 3C8,49.29879,-122.89059,147.195
2017,Saskatchewan,S0N0H0,,,544820.9103
2017,Ontario,N7T7N4,42.9437,-82.4153,203397.166
2017,Alberta,T3N1C6,51.18058,113.9366,439214.8778
2017,Ontario,P0L1N0,49.0577,-81.0302,23615.44
2017,Ontario,P0R1B0,46.1982,-82.6989,132086.557
2017,Alberta,T1C1T9,50.0582,-110.7282,143778.6779
2017,Alberta,T0H1L0,,,3341551.055
2017,Ontario,K0E1E0,44.7846,-75.3773,53599.56052
2017,British Columbia,V2J3J6,53,-122.4583,120382.0093
2017,Alberta,T9N2H4,55.0473,-110.5778,26557.6216
2017,Ontario,L9H3S9,43.3521,-79.8679,475693.3033
2017,Ontario,N5C3K5,43.0687,-80.858,426236.1873
2017,Newfoundland and Labrador,A2V2V6,52.9565,-66.8936,992665.9659
2017,Alberta,T0J0M0,50.845,-113.591,622646.9528
2017,Alberta,T0J 0M0,50.90123,-113.39283,316925.7303
2017,Alberta,T0J0M0,50.8467,-113.58117,140138.4901
2017,Ontario,N6N1E3,42.9217,-81.1942,122352.4212
2017,Alberta,T1P1K3,51.0056,-113.1716,202783.2324
2017,Prince Edward Island,C1N4J9,46.4222,-63.679,58113.75
2017,Saskatchewan,S4P 3A1,50.4843,-104.5794,1751949.43
2017,Quebec,G4T1R3,47.3743,-61.8858,128167.839
2017,Quebec,H1B5B4,45.6324,-73.5244,233951.8664
2017,Alberta,T0P1J0,55.5827,-110.8888,3140913.438
2017,Quebec,G0A3G0,46.7447,-71.8126,705549.6489
2017,Quebec,J5A2G4,45.3401,-73.52367,719608.7286
