Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Percent; Estimate; All households,Percent; Margin of Error; All households,Limited English-speaking households; Estimate; All households,Limited English-speaking households; Margin of Error; All households,Percent limited English-speaking households; Estimate; All households,Percent limited English-speaking households; Margin of Error; All households,Total; Estimate; Households speaking -- - Spanish,Total; Margin of Error; Households speaking -- - Spanish,Percent; Estimate; Households speaking -- - Spanish,Percent; Margin of Error; Households speaking -- - Spanish,Limited English-speaking households; Estimate; Households speaking -- - Spanish,Limited English-speaking households; Margin of Error; Households speaking -- - Spanish,Percent limited English-speaking households; Estimate; Households speaking -- - Spanish,Percent limited English-speaking households; Margin of Error; Households speaking -- - Spanish,Total; Estimate; Households speaking -- - Other Indo-European languages,Total; Margin of Error; Households speaking -- - Other Indo-European languages,Percent; Estimate; Households speaking -- - Other Indo-European languages,Percent; Margin of Error; Households speaking -- - Other Indo-European languages,Limited English-speaking households; Estimate; Households speaking -- - Other Indo-European languages,Limited English-speaking households; Margin of Error; Households speaking -- - Other Indo-European languages,Percent limited English-speaking households; Estimate; Households speaking -- - Other Indo-European languages,Percent limited English-speaking households; Margin of Error; Households speaking -- - Other Indo-European languages,Total; Estimate; Households speaking -- - Asian and Pacific Island languages,Total; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Percent; Estimate; Households speaking -- - Asian and Pacific Island languages,Percent; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Limited English-speaking households; Estimate; Households speaking -- - Asian and Pacific Island languages,Limited English-speaking households; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Percent limited English-speaking households; Estimate; Households speaking -- - Asian and Pacific Island languages,Percent limited English-speaking households; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Total; Estimate; Households speaking -- - Other languages,Total; Margin of Error; Households speaking -- - Other languages,Percent; Estimate; Households speaking -- - Other languages,Percent; Margin of Error; Households speaking -- - Other languages,Limited English-speaking households; Estimate; Households speaking -- - Other languages,Limited English-speaking households; Margin of Error; Households speaking -- - Other languages,Percent limited English-speaking households; Estimate; Households speaking -- - Other languages,Percent limited English-speaking households; Margin of Error; Households speaking -- - Other languages
0600000US3600101000,3600101000,"Albany city, Albany County, New York",41245,760,(X),(X),1457,259,3.5,0.6,2134,249,5.2,0.6,296,120,13.9,5.4,2305,323,5.6,0.8,429,145,18.6,5.8,1607,225,3.9,0.5,645,139,40.1,7.3,542,164,1.3,0.4,87,65,16.1,11.4
0600000US3600106211,3600106211,"Berne town, Albany County, New York",1109,50,(X),(X),8,9,0.7,0.8,10,11,0.9,1,4,6,40,59.4,22,17,2,1.5,4,6,18.2,27.6,6,9,0.5,0.8,0,11,0,100,0,11,0,2.7,0,11,-,**
0600000US3600106354,3600106354,"Bethlehem town, Albany County, New York",13729,314,(X),(X),174,94,1.3,0.7,148,71,1.1,0.5,17,28,11.5,17.9,705,160,5.1,1.2,78,65,11.1,8.7,324,105,2.4,0.8,79,51,24.4,14.6,46,42,0.3,0.3,0,24,0,42
0600000US3600116694,3600116694,"Coeymans town, Albany County, New York",3053,132,(X),(X),0,16,0,1,43,38,1.4,1.2,0,16,0,43.5,80,48,2.6,1.6,0,16,0,30.3,6,11,0.2,0.4,0,16,0,100,0,16,0,1,0,16,-,**
0600000US3600116749,3600116749,"Cohoes city, Albany County, New York",7456,278,(X),(X),60,55,0.8,0.7,216,115,2.9,1.5,33,48,15.3,20.3,277,102,3.7,1.4,21,21,7.6,7.6,30,27,0.4,0.4,0,18,0,52,16,18,0.2,0.2,6,11,37.5,62.5
0600000US3600117343,3600117343,"Colonie town, Albany County, New York",32317,573,(X),(X),810,216,2.5,0.7,871,202,2.7,0.6,108,86,12.4,9,2544,322,7.9,1,329,116,12.9,4.1,1260,194,3.9,0.6,334,157,26.5,10.4,447,185,1.4,0.6,39,32,8.7,7.5
0600000US3600130532,3600130532,"Green Island town, Albany County, New York",1206,96,(X),(X),27,33,2.2,2.8,48,53,4,4.4,0,11,0,41.1,35,28,2.9,2.4,0,11,0,48.2,27,33,2.2,2.8,27,33,100,54.8,0,11,0,2.5,0,11,-,**
0600000US3600131104,3600131104,"Guilderland town, Albany County, New York",14296,335,(X),(X),234,102,1.6,0.7,352,119,2.5,0.8,24,34,6.8,9.2,693,143,4.8,1,89,53,12.8,7.2,568,135,4,1,121,64,21.3,8.9,108,63,0.8,0.4,0,24,0,23.9
0600000US3600140002,3600140002,"Knox town, Albany County, New York",981,80,(X),(X),4,7,0.4,0.7,4,8,0.4,0.8,0,11,0,100,45,31,4.6,3.2,4,7,8.9,15.8,0,11,0,3,0,11,-,**,5,7,0.5,0.7,0,11,0,100
0600000US3600150672,3600150672,"New Scotland town, Albany County, New York",3348,139,(X),(X),11,12,0.3,0.4,108,47,3.2,1.4,0,16,0,23.9,143,45,4.3,1.4,5,8,3.5,6,41,43,1.2,1.3,6,10,14.6,28.3,5,7,0.1,0.2,0,16,0,100
0600000US3600161181,3600161181,"Rensselaerville town, Albany County, New York",727,70,(X),(X),18,11,2.5,1.5,10,7,1.4,1,3,4,30,37.8,38,16,5.2,2.2,15,10,39.5,23.1,0,11,0,4,0,11,-,**,3,7,0.4,0.9,0,11,0,100
0600000US3600178674,3600178674,"Watervliet city, Albany County, New York",4586,226,(X),(X),175,114,3.8,2.5,164,94,3.6,2,25,37,15.2,23.3,278,125,6.1,2.7,127,98,45.7,21.5,53,48,1.2,1,23,36,43.4,50.5,13,22,0.3,0.5,0,18,0,79
0600000US3600179851,3600179851,"Westerlo town, Albany County, New York",1323,105,(X),(X),10,16,0.8,1.2,24,23,1.8,1.7,0,11,0,58.2,44,30,3.3,2.3,0,11,0,43,10,16,0.8,1.2,10,16,100,90.1,0,11,0,2.2,0,11,-,**
0600000US3600301209,3600301209,"Alfred town, Allegany County, New York",719,197,(X),(X),16,15,2.2,2,2,3,0.3,0.4,0,16,0,100,48,22,6.7,3,2,4,4.2,8.2,49,25,6.8,3.5,14,14,28.6,22.2,4,5,0.6,0.7,0,16,0,100
0600000US3600301319,3600301319,"Allen town, Allegany County, New York",189,36,(X),(X),6,4,3.2,2.4,0,11,0,14.6,0,11,-,**,30,17,15.9,8.5,6,4,20,16.2,0,11,0,14.6,0,11,-,**,0,11,0,14.6,0,11,-,**
0600000US3600301429,3600301429,"Alma town, Allegany County, New York",335,51,(X),(X),0,11,0,8.6,2,3,0.6,0.9,0,11,0,100,0,11,0,8.6,0,11,-,**,8,12,2.4,3.5,0,11,0,100,0,11,0,8.6,0,11,-,**
0600000US3600301451,3600301451,"Almond town, Allegany County, New York",622,66,(X),(X),6,7,1,1.2,5,5,0.8,0.8,0,11,0,100,12,9,1.9,1.4,6,7,50,48.5,6,6,1,0.9,0,11,0,100,2,6,0.3,1,0,11,0,100
0600000US3600302011,3600302011,"Amity town, Allegany County, New York",930,91,(X),(X),0,11,0,3.2,14,10,1.5,1.1,0,11,0,76.1,3,6,0.3,0.6,0,11,0,100,5,8,0.5,0.8,0,11,0,100,2,5,0.2,0.6,0,11,0,100
0600000US3600302154,3600302154,"Andover town, Allegany County, New York",718,80,(X),(X),0,11,0,4.1,4,6,0.6,0.8,0,11,0,100,9,11,1.3,1.5,0,11,0,95,0,11,0,4.1,0,11,-,**,0,11,0,4.1,0,11,-,**
0600000US3600302187,3600302187,"Angelica town, Allegany County, New York",566,53,(X),(X),8,10,1.4,1.7,6,6,1.1,1,0,11,0,100,3,5,0.5,1,0,11,0,100,11,10,1.9,1.8,8,10,72.7,43.7,0,11,0,5.2,0,11,-,**
0600000US3600305573,3600305573,"Belfast town, Allegany County, New York",724,95,(X),(X),12,19,1.7,2.6,10,7,1.4,1,0,11,0,90.1,95,49,13.1,6.2,12,19,12.6,20.3,0,11,0,4.1,0,11,-,**,0,11,0,4.1,0,11,-,**
0600000US3600306717,3600306717,"Birdsall town, Allegany County, New York",82,28,(X),(X),0,11,0,29.7,0,11,0,29.7,0,11,-,**,0,11,0,29.7,0,11,-,**,0,11,0,29.7,0,11,-,**,0,11,0,29.7,0,11,-,**
0600000US3600307201,3600307201,"Bolivar town, Allegany County, New York",849,79,(X),(X),0,11,0,3.5,26,29,3.1,3.3,0,11,0,55.9,8,7,0.9,0.8,0,11,0,100,0,11,0,3.5,0,11,-,**,0,11,0,3.5,0,11,-,**
0600000US3600311253,3600311253,"Burns town, Allegany County, New York",506,78,(X),(X),0,11,0,5.8,11,11,2.2,2.2,0,11,0,85.9,7,6,1.4,1.3,0,11,0,100,9,7,1.8,1.4,0,11,0,95,0,11,0,5.8,0,11,-,**
